,Profile Name,Start Time,Duration,Title,Bookmark,Latest Bookmark,Country
25,Perfil 5,2023-01-11 02:49:51,00:00:07,Forrest Gump_hook_primary_16x9,00:00:07,00:00:07,BR (Brazil)
26,Perfil 5,2023-01-11 02:48:40,00:00:55,Suits: Season 1_hook_primary_16x9,00:00:55,00:00:55,BR (Brazil)
27,Perfil 5,2023-01-11 02:48:19,00:00:19,Schindler's List_hook_primary_16x9,00:00:19,Not latest view,BR (Brazil)
28,Perfil 5,2023-01-10 02:17:18,00:00:24,Star Trek: Season 1_hook_primary_16x9,00:00:25,00:00:25,BR (Brazil)
29,Perfil 5,2023-01-10 02:16:12,00:00:51,Baby Driver_hook_primary_16x9,00:00:51,00:00:51,BR (Brazil)
30,Perfil 5,2023-01-10 02:15:06,00:00:56,O Telefone do Sr. Harrigan (Clipe): O Telefone do Sr. Harrigan,00:00:56,00:00:56,BR (Brazil)
31,Perfil 5,2023-01-10 02:13:18,00:01:16,O Time da Redenção (Clipe): O Time da Redenção,00:01:16,00:01:16,BR (Brazil)
32,Perfil 5,2023-01-10 02:12:18,00:00:44,Forrest Gump_hook_primary_16x9,00:00:44,Not latest view,BR (Brazil)
33,Perfil 5,2023-01-10 02:11:43,00:00:19,Teaser 1: Elite,00:00:20,00:00:20,BR (Brazil)
34,Perfil 5,2023-01-10 02:11:28,00:00:10,Knocked Up_hook_primary_16x9,00:00:11,00:00:11,BR (Brazil)
35,Perfil 5,2023-01-10 02:11:11,00:00:11,Clueless_hook_primary_16x9,00:00:12,00:00:12,BR (Brazil)
36,Perfil 5,2023-01-10 02:10:22,00:00:43,Teaser 1: Elite,00:00:44,Not latest view,BR (Brazil)
37,Perfil 5,2023-01-10 02:07:30,00:02:13,1899: Temporada 1: A neblina (Episódio 3),00:43:05,00:43:05,BR (Brazil)
38,Perfil 5,2023-01-10 02:03:46,00:00:14,Anúncio: O Irlandês,00:00:15,00:00:15,BR (Brazil)
39,Perfil 5,2023-01-10 02:03:27,00:00:11,1922_CLIP_SUPPORTINGCHARACTER,00:00:11,00:00:11,BR (Brazil)
40,Perfil 5,2023-01-10 02:02:15,00:00:40,The Edge of Seventeen_hook_primary_16x9,00:00:41,00:00:41,BR (Brazil)
41,Perfil 5,2023-01-10 02:01:29,00:00:40,Munique: No Limite da Guerra (Clipe): Munique: No Limite da Guerra,00:00:41,00:00:41,BR (Brazil)
42,Perfil 5,2023-01-10 02:01:16,00:00:06,Memoirs of a Geisha_hook_01_16x9,00:00:07,00:00:07,BR (Brazil)
43,Perfil 5,2023-01-10 01:33:38,00:26:19,Como Se Tornar um Tirano: Temporada 1: Controle a verdade (Episódio 4),00:25:21,00:25:21,BR (Brazil)
44,Perfil 5,2023-01-10 01:31:45,00:00:58,Temporada 1 (Trailer): Como Se Tornar um Tirano,00:00:59,00:00:59,BR (Brazil)
45,Perfil 5,2023-01-10 01:31:20,00:00:04,Grandes Momentos da Segunda Guerra em Cores: Temporada 1 (Trailer),00:00:05,00:00:05,BR (Brazil)
46,Perfil 5,2023-01-10 01:29:49,00:00:19,The Imitation Game_Autohook_3_16x9,00:00:20,00:00:20,BR (Brazil)
47,Perfil 5,2023-01-10 01:29:21,00:00:08,1917_hook_primary_16x9,00:00:09,00:00:09,BR (Brazil)
48,Perfil 5,2023-01-10 01:29:01,00:00:07,O Pálido Olho Azul (Clipe): O Pálido Olho Azul,00:00:08,00:00:08,BR (Brazil)
49,Perfil 5,2023-01-10 01:28:27,00:00:23,The Imitation Game_Autohook_3_16x9,00:00:24,Not latest view,BR (Brazil)
50,Perfil 5,2023-01-10 01:26:40,00:00:24,Justiceiras (Clipe): Justiceiras,00:00:25,00:00:25,BR (Brazil)
51,Perfil 5,2023-01-10 01:24:01,00:00:59,Tim Maia_hook_primary_16x9,00:00:59,00:00:59,BR (Brazil)
52,Perfil 5,2023-01-10 01:23:08,00:00:42,Nada de Novo no Front (Clipe): Nada de Novo no Front,00:00:43,00:00:43,BR (Brazil)
53,Perfil 5,2023-01-10 01:15:11,00:00:58,Nada de Novo no Front (Clipe): Nada de Novo no Front,00:00:58,Not latest view,BR (Brazil)
54,Perfil 5,2023-01-09 23:50:39,00:00:32,Black Mirror: Temporada 5 (Trailer da Série),00:00:32,00:00:32,BR (Brazil)
55,Perfil 5,2023-01-09 23:49:22,00:01:03,Catch Me If You Can_hook_04_16x9,00:01:03,00:01:03,BR (Brazil)
56,Perfil 5,2023-01-09 23:49:05,00:00:11,Catch Me If You Can_hook_04_16x9,00:00:11,Not latest view,BR (Brazil)
57,Perfil 5,2023-01-09 23:48:59,00:00:10,Downton Abbey: Series 1_hook_primary_16x9,00:00:10,Not latest view,BR (Brazil)
58,Perfil 5,2023-01-09 21:51:29,01:51:08,1917,01:49:53,01:49:53,BR (Brazil)
59,Perfil 5,2023-01-09 21:38:39,00:00:36,Downton Abbey: Series 1_hook_primary_16x9,00:00:00,Not latest view,BR (Brazil)
60,Perfil 5,2023-01-07 22:07:38,00:00:08,Get Rich or Die Tryin'_hook_primary_16x9,00:00:08,Not latest view,BR (Brazil)
61,Perfil 5,2023-01-07 22:06:39,00:00:09,Temporada 6 (Clipe): Elite,00:00:09,00:00:09,BR (Brazil)
62,Perfil 5,2023-01-07 22:06:17,00:00:06,O Pálido Olho Azul (Clipe): O Pálido Olho Azul,00:00:14,Not latest view,BR (Brazil)
63,Perfil 5,2023-01-07 22:06:09,00:00:16,O Pálido Olho Azul (Clipe): O Pálido Olho Azul,00:00:16,Not latest view,BR (Brazil)
64,Perfil 5,2023-01-07 22:05:27,00:00:32,Everything Sucks! (Trailer),00:00:33,00:00:33,BR (Brazil)
65,Perfil 5,2023-01-07 05:46:09,00:20:32,Click,00:20:49,00:20:49,BR (Brazil)
66,Perfil 5,2023-01-07 05:44:42,00:00:08,Click_hook_primary_16x9,00:00:09,00:00:09,BR (Brazil)
67,Perfil 5,2023-01-07 05:44:21,00:00:15,Silver Linings Playbook_hook_primary_16x9,00:00:16,00:00:16,BR (Brazil)
68,Perfil 5,2023-01-07 05:44:00,00:00:16,The Theory of Everything_hook_primary_16x9,00:00:17,Not latest view,BR (Brazil)
69,Perfil 5,2023-01-07 05:43:02,00:00:34,Temporada 3 (Clipe): The Umbrella Academy,00:00:34,00:00:34,BR (Brazil)
70,Perfil 5,2023-01-07 05:42:03,00:00:49,The Dirt – Confissões do Mötley Crüe (Trailer),00:00:50,00:00:50,BR (Brazil)
71,Perfil 5,2023-01-07 05:41:25,00:00:14,The Office (U.S.): Season 1_hook_primary_16x9,00:00:15,00:00:15,BR (Brazil)
72,Perfil 5,2023-01-07 05:41:01,00:00:09,O Pálido Olho Azul,00:00:10,00:00:10,BR (Brazil)
73,Perfil 5,2023-01-07 05:40:52,00:00:06,O Pálido Olho Azul (Clipe): O Pálido Olho Azul,00:00:07,00:00:07,BR (Brazil)
74,Perfil 5,2023-01-06 18:23:36,00:11:31,A rede social,00:10:19,00:10:19,BR (Brazil)
75,Perfil 5,2023-01-06 18:22:59,00:00:34,The Social Network_hook_primary_16x9,00:00:34,00:00:34,BR (Brazil)
76,Perfil 5,2023-01-06 18:22:29,00:00:04,The Imitation Game_Autohook_6_16x9,00:00:04,00:00:04,BR (Brazil)
77,Perfil 5,2023-01-06 18:22:10,00:00:04,1917_hook_primary_16x9,00:00:04,Not latest view,BR (Brazil)
78,Perfil 5,2023-01-06 18:21:47,00:00:15,Tim Maia_hook_03_16x9,00:00:15,00:00:15,BR (Brazil)
79,Perfil 5,2023-01-06 18:21:36,00:00:04,Clueless_hook_primary_16x9,00:00:04,Not latest view,BR (Brazil)
80,Perfil 5,2023-01-06 18:20:45,00:00:14,Temporada 2 (Clipe 2): Ginny e Georgia,00:00:14,00:00:14,BR (Brazil)
81,Perfil 5,2023-01-06 00:56:35,00:00:08,Minissérie (Clipe): Caleidoscópio,00:00:08,00:00:08,BR (Brazil)
82,Perfil 5,2023-01-06 00:55:51,00:00:05,Temporada 1 (Trailer): Matchday: FC Barcelona,00:00:05,00:00:05,BR (Brazil)
83,Perfil 5,2023-01-06 00:54:55,00:00:05,Click_hook_primary_16x9,00:00:05,Not latest view,BR (Brazil)
84,Perfil 5,2023-01-06 00:54:11,00:00:20,1917_hook_primary_16x9,00:00:20,Not latest view,BR (Brazil)
85,Perfil 5,2023-01-06 00:51:39,00:00:04,Black Mirror: Temporada 3 (Trailer),00:00:05,00:00:05,BR (Brazil)
86,Perfil 5,2023-01-06 00:51:27,00:00:01,A lista de Schindler,00:00:01,00:00:01,BR (Brazil)
87,Perfil 5,2023-01-06 00:51:10,00:00:08,Forrest Gump_hook_primary_16x9,00:00:08,Not latest view,BR (Brazil)
88,Perfil 5,2023-01-06 00:50:59,00:00:06,Forrest Gump_hook_primary_16x9,00:00:06,Not latest view,BR (Brazil)
89,Perfil 5,2023-01-06 00:50:36,00:00:20,Midnight Express_hook_primary_16x9,00:00:20,00:00:20,BR (Brazil)
90,Perfil 5,2023-01-06 00:48:53,00:00:12,The Amazing Spider-Man_hook_primary_16x9,00:00:12,Not latest view,BR (Brazil)
91,Perfil 5,2023-01-06 00:47:46,00:00:07,Clueless_hook_primary_16x9,00:00:07,Not latest view,BR (Brazil)
92,Perfil 5,2023-01-06 00:46:10,00:00:04,Minissérie (Clipe): Caleidoscópio,00:00:04,Not latest view,BR (Brazil)
93,Perfil 5,2023-01-05 23:23:53,00:02:27,Trailer: Glass Onion: Um Mistério Knives Out,00:02:27,00:02:27,BR (Brazil)
94,Perfil 5,2023-01-05 23:21:42,00:02:08,Temporada 2 (Trailer): Alice in Borderland,00:02:08,00:02:08,BR (Brazil)
95,Perfil 5,2023-01-05 23:19:17,00:02:21,Trailer: Caleidoscópio,00:02:21,00:02:21,BR (Brazil)
96,Perfil 5,2023-01-05 21:28:55,01:50:13,O Jogo da Imitação,01:50:33,01:50:33,BR (Brazil)
97,Perfil 5,2023-01-05 21:28:17,00:00:33,The Imitation Game_Autohook_3_16x9,00:00:33,Not latest view,BR (Brazil)
98,Perfil 5,2023-01-05 21:27:21,00:00:51,Baby Driver_hook_primary_16x9,00:00:51,Not latest view,BR (Brazil)
99,Perfil 5,2023-01-05 21:26:47,00:00:21,Trailer 2: Arremessando Alto,00:00:21,00:00:21,BR (Brazil)
100,Perfil 5,2023-01-05 21:26:31,00:00:04,Get Out_hook_primary_16x9,00:00:04,00:00:04,BR (Brazil)
101,Perfil 5,2023-01-05 21:26:05,00:00:11,Catch Me If You Can_hook_04_16x9,00:00:11,Not latest view,BR (Brazil)
102,Perfil 5,2023-01-05 21:25:32,00:00:16,8 Mile_hook_primary_16x9,00:00:16,00:00:16,BR (Brazil)
103,Perfil 5,2023-01-05 21:24:35,00:00:19,Catch Me If You Can_hook_04_16x9,00:00:19,Not latest view,BR (Brazil)
104,Perfil 5,2023-01-05 21:24:14,00:00:11,O Mistério,00:00:11,00:00:11,BR (Brazil)
105,Perfil 5,2023-01-05 21:23:52,00:00:18,Anúncio: O Irlandês,00:00:18,Not latest view,BR (Brazil)
106,Perfil 5,2023-01-05 21:23:20,00:00:28,Blade Runner 2049_hook_primary_16x9,00:00:28,00:00:28,BR (Brazil)
107,Perfil 5,2023-01-05 21:23:05,00:00:04,AIB Hook 1,00:00:04,00:00:04,BR (Brazil)
108,Perfil 5,2023-01-01 18:35:55,00:00:05,Akira_hook_01_16x9,00:00:05,00:00:05,BR (Brazil)
109,Perfil 5,2023-01-01 18:35:19,00:00:10,Matilda: O Musical (Clipe): Matilda: O Musical,00:00:10,00:00:10,BR (Brazil)
110,Perfil 5,2023-01-01 03:12:09,01:43:28,De Volta para o Futuro II,01:43:21,01:43:21,BR (Brazil)
111,Perfil 5,2023-01-01 01:20:00,01:51:18,De Volta para o Futuro,01:51:54,01:51:54,BR (Brazil)
112,Perfil 5,2023-01-01 01:18:04,00:00:08,De Volta para o Futuro,01:40:50,Not latest view,BR (Brazil)
113,Perfil 5,2023-01-01 01:15:21,00:00:07,De Volta para o Futuro,00:00:10,Not latest view,BR (Brazil)
114,Perfil 5,2023-01-01 01:09:59,00:00:01,De Volta para o Futuro,00:00:02,Not latest view,BR (Brazil)
115,Perfil 5,2022-12-31 21:22:19,00:00:07,Ruído Branco (Clipe): Ruído Branco,00:00:07,00:00:07,BR (Brazil)
116,Perfil 5,2022-12-31 17:16:31,00:01:45,Ruído Branco (Clipe): Ruído Branco,00:01:46,Not latest view,BR (Brazil)
117,Perfil 5,2022-12-31 03:06:06,00:40:52,1899: Temporada 1: A neblina (Episódio 3),00:40:52,Not latest view,BR (Brazil)
118,Perfil 5,2022-12-31 02:59:38,00:00:43,The Social Network_hook_primary_16x9,00:00:44,Not latest view,BR (Brazil)
119,Perfil 5,2022-12-31 02:59:13,00:00:05,Temporada 1 (Clipe): 1899,00:00:06,00:00:06,BR (Brazil)
120,Perfil 5,2022-12-31 02:58:06,00:00:35,Glass Onion: Um Mistério Knives Out (Clipe 4): Glass Onion: Um Mistério Knives Out,00:00:35,00:00:35,BR (Brazil)
121,Perfil 5,2022-12-30 19:59:38,00:12:54,Campeões da Copa: Temporada 1: Itália: contra todas as expectativas (Episódio 2),00:13:50,00:13:50,BR (Brazil)
122,Perfil 5,2022-12-30 19:58:28,00:00:05,Temporada 6 (Clipe): Elite,00:00:05,Not latest view,BR (Brazil)
123,Perfil 5,2022-12-30 19:57:37,00:00:06,Temporada 4 (Clipe): F1: Dirigir para Viver,00:00:06,00:00:06,BR (Brazil)
124,Perfil 5,2022-12-30 19:55:51,00:00:04,Castlevania: Season 1 - Upper Bound Clip 13,00:00:04,00:00:04,BR (Brazil)
125,Perfil 5,2022-12-30 19:55:42,00:00:06,Death Note_hook_primary_16x9,00:00:06,00:00:06,BR (Brazil)
126,Perfil 5,2022-12-30 19:55:18,00:00:07,Clipe 2: O Gambito da Rainha,00:00:07,00:00:07,BR (Brazil)
127,Perfil 5,2022-12-30 19:54:57,00:00:11,Temporada 1 (Clipe): Gol Contra,00:00:25,00:00:25,BR (Brazil)
128,Perfil 5,2022-12-30 19:54:36,00:00:13,Temporada 1 (Clipe): Gol Contra,00:00:13,Not latest view,BR (Brazil)
129,Perfil 5,2022-12-30 19:53:34,00:00:29,The Perks of Being a Wallflower_hook_primary_16x9,00:00:29,00:00:29,BR (Brazil)
130,Perfil 5,2022-12-30 19:52:34,00:00:07,Matilda: O Musical (Clipe): Matilda: O Musical,00:00:07,00:00:07,BR (Brazil)
131,Perfil 5,2022-12-30 19:51:25,00:00:09,Temporada 2 (Trailer 2): Alice in Borderland,00:00:09,00:00:09,BR (Brazil)
132,Perfil 5,2022-12-26 01:26:45,00:00:04,Glass Onion: Um Mistério Knives Out (Clipe 4): Glass Onion: Um Mistério Knives Out,00:00:06,Not latest view,BR (Brazil)
133,Perfil 5,2022-12-26 01:26:42,00:00:07,Glass Onion: Um Mistério Knives Out (Clipe 4): Glass Onion: Um Mistério Knives Out,00:00:07,Not latest view,BR (Brazil)
134,Perfil 5,2022-12-26 01:23:24,00:00:05,The Wrong Missy PVS Trailer C,00:00:05,00:00:05,BR (Brazil)
135,Perfil 5,2022-12-26 01:23:02,00:00:09,Glass Onion: Um Mistério Knives Out (Clipe 4): Glass Onion: Um Mistério Knives Out,00:00:16,Not latest view,BR (Brazil)
136,Perfil 5,2022-12-26 01:22:54,00:00:17,Glass Onion: Um Mistério Knives Out (Clipe 4): Glass Onion: Um Mistério Knives Out,00:00:17,Not latest view,BR (Brazil)
137,Perfil 5,2022-12-26 01:22:30,00:00:04,Knocked Up_hook_primary_16x9,00:00:04,Not latest view,BR (Brazil)
138,Perfil 5,2022-12-26 01:20:49,00:00:06,The Dirt_CLIP_MUSIC_1,00:00:06,00:00:06,BR (Brazil)
139,Perfil 5,2022-12-26 01:20:01,00:00:23,Closer_hook_05_16x9,00:00:23,00:00:23,BR (Brazil)
140,Perfil 5,2022-12-26 01:18:32,00:00:15,Teaser: Os 4 Malfeitores,00:00:15,00:00:15,BR (Brazil)
141,Perfil 5,2022-12-26 01:14:55,00:00:18,Akira_hook_04_16x9,00:00:18,00:00:18,BR (Brazil)
142,Perfil 5,2022-12-26 01:12:37,00:00:35,Glass Onion: Um Mistério Knives Out (Clipe 4): Glass Onion: Um Mistério Knives Out,00:00:00,Not latest view,BR (Brazil)
143,Perfil 5,2022-12-19 18:26:39,00:00:11,That's Amor (Clipe): That's Amor,00:00:12,00:00:12,BR (Brazil)
144,Perfil 5,2022-12-19 18:26:29,00:00:06,Ele Acredita em Papai Noel! (Clipe): Ele Acredita em Papai Noel!,00:00:07,00:00:07,BR (Brazil)
145,Perfil 5,2022-12-19 18:25:39,00:00:28,Easy A_hook_primary_16x9,00:00:28,Not latest view,BR (Brazil)
146,Perfil 5,2022-12-19 18:24:18,00:00:55,Akira_hook_01_16x9,00:00:56,Not latest view,BR (Brazil)
147,Perfil 5,2022-12-19 18:23:36,00:00:35,"Volume 3 (Trailer): Love, Death & Robots",00:00:35,00:00:35,BR (Brazil)
148,Perfil 5,2022-12-19 18:23:01,00:00:15,Star Trek: Season 1_hook_primary_16x9,00:00:15,Not latest view,BR (Brazil)
149,Perfil 5,2022-12-15 02:12:19,00:00:05,Click_hook_primary_16x9,00:00:05,Not latest view,BR (Brazil)
150,Perfil 5,2022-12-15 02:11:50,00:00:07,The Social Network_hook_primary_16x9,00:00:07,Not latest view,BR (Brazil)
151,Perfil 5,2022-12-15 02:11:39,00:00:10,Teaser: Pinóquio por Guillermo del Toro,00:00:10,Not latest view,BR (Brazil)
152,Perfil 5,2022-12-15 01:22:51,00:00:22,Akira_hook_primary_16x9,00:00:22,00:00:22,BR (Brazil)
153,Perfil 5,2022-12-15 01:22:40,00:00:07,Taxi Driver_hook_05_16x9,00:00:07,00:00:07,BR (Brazil)
154,Perfil 5,2022-12-15 01:21:46,00:00:06,The Godfather_hook_primary_16x9,00:00:06,00:00:06,BR (Brazil)
155,Perfil 5,2022-12-15 01:20:32,00:00:28,Teaser: Pinóquio por Guillermo del Toro,00:00:28,Not latest view,BR (Brazil)
156,Perfil 5,2022-12-12 01:04:30,00:00:04,Akira_hook_01_16x9,00:00:05,Not latest view,BR (Brazil)
157,Perfil 5,2022-12-12 01:04:19,00:00:05,Léon: The Professional_hook_primary_16x9,00:00:06,00:00:06,BR (Brazil)
158,Perfil 5,2022-12-12 01:04:04,00:00:04,The Mummy_hook_primary_16x9,00:00:05,00:00:05,BR (Brazil)
159,Perfil 5,2022-12-12 01:03:26,00:00:28,Temporada 2 (Trailer): The Witcher,00:00:29,00:00:29,BR (Brazil)
160,Perfil 5,2022-12-12 00:51:18,00:00:10,Riverdale: Season 1_hook_primary_16x9,00:00:11,00:00:11,BR (Brazil)
161,Perfil 5,2022-12-12 00:49:20,00:01:11,Temporada 1 (Clipe): 1899,00:01:12,Not latest view,BR (Brazil)
162,Perfil 5,2022-12-12 00:49:09,00:00:06,Schindler's List_hook_primary_16x9,00:00:07,Not latest view,BR (Brazil)
163,Perfil 5,2022-12-12 00:49:01,00:00:04,Teaser: Pinóquio por Guillermo del Toro,00:00:05,Not latest view,BR (Brazil)
164,Perfil 5,2022-12-08 02:32:28,00:00:10,"Limited Series Cinemagraph: Pepsi, Where's My Jet?",00:00:10,00:00:10,BR (Brazil)
165,Perfil 5,2022-12-07 23:26:59,00:00:09,Temporada 1 (Clipe): 1899,00:00:10,Not latest view,BR (Brazil)
166,Perfil 5,2022-12-07 04:49:22,00:00:13,Léon: The Professional_hook_primary_16x9,00:00:14,Not latest view,BR (Brazil)
167,Perfil 5,2022-12-07 04:48:39,00:00:11,Top Gun_hook_primary_16x9,00:00:12,00:00:12,BR (Brazil)
168,Perfil 5,2022-12-07 04:48:03,00:00:08,You: Season 1 (CEE Asset 2),00:00:09,00:00:09,BR (Brazil)
169,Perfil 5,2022-12-07 04:47:28,00:00:08,The Imitation Game_Autohook_1_16x9,00:00:09,00:00:09,BR (Brazil)
170,Perfil 5,2022-12-07 04:46:26,00:00:39,Chorão: Marginal Alado_hook_03_16x9,00:00:39,00:00:39,BR (Brazil)
171,Perfil 5,2022-12-07 04:46:18,00:00:04,Sense8 (Trailer),00:00:05,00:00:05,BR (Brazil)
172,Perfil 5,2022-12-07 04:45:57,00:00:15,Spirited Away_hook_05_16x9,00:00:16,00:00:16,BR (Brazil)
173,Perfil 5,2022-12-07 04:44:54,00:00:43,Trailer: Agente Oculto,00:00:44,00:00:44,BR (Brazil)
174,Perfil 5,2022-12-07 04:43:25,00:00:14,Teaser 1: Elite,00:00:15,Not latest view,BR (Brazil)
175,Perfil 5,2022-12-07 04:41:48,00:00:04,The Interview_hook_primary_16x9,00:00:05,00:00:05,BR (Brazil)
176,Perfil 5,2022-12-07 04:41:23,00:00:11,Shutter Island_hook_primary_16x9,00:00:12,00:00:12,BR (Brazil)
177,Perfil 5,2022-12-07 04:40:33,00:00:13,Teaser 2: Racionais: Das Ruas de São Paulo Pro Mundo,00:00:14,00:00:14,BR (Brazil)
178,Perfil 5,2022-12-07 04:38:10,00:01:37,White Chicks_hook_primary_16x9,00:01:38,00:01:38,BR (Brazil)
179,Perfil 5,2022-12-07 04:37:52,00:00:08,Forrest Gump_hook_primary_16x9,00:00:09,Not latest view,BR (Brazil)
180,Perfil 5,2022-12-07 01:58:49,01:50:50,Taxi Driver,01:51:30,01:51:30,BR (Brazil)
181,Perfil 5,2022-12-07 01:58:16,00:00:31,Taxi Driver_hook_04_16x9,00:00:31,00:00:31,BR (Brazil)
182,Perfil 5,2022-12-07 01:57:41,00:00:04,Temporada 2 (Clipe): The Witcher,00:00:05,00:00:05,BR (Brazil)
183,Perfil 5,2022-12-07 01:55:00,00:00:12,Teen Wolf: Season 1_hook_primary_16x9,00:00:13,00:00:13,BR (Brazil)
184,Perfil 5,2022-12-07 01:54:18,00:00:35,Anne with an E (trailer),00:00:36,00:00:36,BR (Brazil)
185,Perfil 5,2022-12-07 01:48:48,00:02:11,The End of the F***ing World (Trailer),00:02:12,00:02:12,BR (Brazil)
186,Perfil 5,2022-12-07 01:48:28,00:00:14,8 Mile_hook_primary_16x9,00:00:15,Not latest view,BR (Brazil)
187,Perfil 5,2022-12-07 01:47:07,00:00:20,Ragnarok: Season 1 - Upper Bound Clip 10,00:00:21,00:00:21,BR (Brazil)
188,Perfil 5,2022-12-07 01:43:09,00:00:08,Riverdale: Season 1_hook_primary_16x9,00:00:09,Not latest view,BR (Brazil)
189,Perfil 5,2022-12-06 23:36:36,02:02:26,Blade Runner 2049,02:33:01,02:33:01,BR (Brazil)
190,Perfil 5,2022-12-06 23:01:44,00:34:18,Blade Runner 2049,00:33:08,Not latest view,BR (Brazil)
191,Perfil 5,2022-12-06 22:59:21,00:00:30,Blade Runner 2049_hook_primary_16x9,00:00:30,Not latest view,BR (Brazil)
192,Perfil 5,2022-12-06 22:55:59,00:00:55,Suits: Season 1_hook_primary_16x9,00:00:55,Not latest view,BR (Brazil)
193,Perfil 5,2022-12-06 22:55:13,00:00:30,Blade Runner 2049_hook_primary_16x9,00:00:30,Not latest view,BR (Brazil)
194,Perfil 5,2022-12-06 22:54:50,00:00:15,The Godfather_hook_primary_16x9,00:00:16,Not latest view,BR (Brazil)
195,Perfil 5,2022-12-06 22:54:15,00:00:11,Teaser 1: Elite,00:00:13,Not latest view,BR (Brazil)
196,Perfil 5,2022-12-06 04:11:37,00:00:04,Temporada 1 (Clipe): 1899,00:00:04,Not latest view,BR (Brazil)
197,Perfil 5,2022-12-06 04:05:59,00:00:07,Temporada 1 (Teaser 2): Cabeça Quente,00:00:07,00:00:07,BR (Brazil)
198,Perfil 5,2022-12-06 03:57:02,00:00:30,Blade Runner 2049_hook_primary_16x9,00:00:30,Not latest view,BR (Brazil)
199,Perfil 5,2022-12-06 03:56:44,00:00:16,Schindler's List_hook_primary_16x9,00:00:16,Not latest view,BR (Brazil)
200,Perfil 5,2022-12-06 03:55:55,00:00:31,Taxi Driver_hook_04_16x9,00:00:31,Not latest view,BR (Brazil)
201,Perfil 5,2022-12-06 03:55:42,00:00:04,Temporada 1 (Clipe 2): Imperfeitos,00:00:04,00:00:04,BR (Brazil)
202,Perfil 5,2022-12-06 03:55:13,00:00:08,Back to the Future_hook_primary_16x9,00:00:08,00:00:08,BR (Brazil)
